SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
1,USA,"29,593,704","+67,281","535,563 ","+1,794","20,183,329","+89,425","8,874,812","13,618","89,053","1,612","366,795,011","1,103,757","332,315,023 ",North America
2,India,"11,191,864","+18,292","157,693 ",+109,"10,852,174","+14,153","181,997","8,944","8,057",114,"219,940,742","158,326","1,389,160,501 ",Asia
3,Brazil,"10,871,843","+75,337","262,948 ","+1,760","9,671,410","+34,390","937,485","8,318","50,903","1,231","28,600,000","133,907","213,580,434 ",South America
4,Russia,"4,301,159","+11,024","88,285 ",+462,"3,885,321","+15,464","327,553","2,300","29,465",605,"112,500,000","770,670","145,976,876 ",Europe
5,UK,"4,207,304","+5,947","124,261 ",+236,"3,144,567","+48,003","938,476","1,590","61,757","1,824","94,197,029","1,382,664","68,127,194 ",Europe
6,France,"3,859,102","+23,507","88,274 ",+305,"263,919","+1,229","3,506,909","3,680","59,034","1,350","54,303,446","830,692","65,371,333 ",Europe
7,Spain,"3,149,012","+6,654","71,138 ",+637,"2,744,664","+22,360","333,210","2,571","67,334","1,521","39,313,189","840,617","46,767,053 ",Europe
8,Italy,"3,023,129","+24,036","99,271 ",+297,"2,467,388","+13,682","456,470","2,525","50,051","1,644","41,716,485","690,653","60,401,515 ",Europe
9,Turkey,"2,757,460","+11,302","28,901 ",+62,"2,608,848","+7,711","119,711","1,232","32,459",340,"33,854,960","398,522","84,951,232 ",Asia
10,Germany,"2,493,887","+9,581","72,297 ",+290,"2,292,100","+8,700","129,490","2,848","29,701",861,"45,114,160","537,295","83,965,303 ",Europe
11,Colombia,"2,269,582","+3,371","60,300 ",+111,"2,168,149","+3,711","41,133","1,982","44,286","1,177","11,655,186","227,424","51,248,741 ",South America
12,Argentina,"2,141,854","+7,891","52,784 ",+140,"1,934,845","+6,468","154,225","3,485","47,099","1,161","7,660,029","168,442","45,475,742 ",South America
13,Mexico,"2,112,508","+7,521","188,866 ",+822,"1,655,549","+5,319","268,093","4,798","16,269","1,455","5,555,699","42,787","129,846,614 ",North America
14,Poland,"1,766,490","+15,829","44,912 ",+263,"1,459,564","+10,945","262,014","1,675","46,710","1,188","10,130,094","267,861","37,818,497 ",Europe
15,Iran,"1,673,470","+8,367","60,512 ",+81,"1,428,008","+7,050","184,950","3,767","19,754",714,"11,151,509","131,632","84,717,385 ",Asia
16,South Africa,"1,518,979","+1,313","50,566 ",+104,"1,437,050","+1,040","31,363",546,"25,396",845,"9,207,347","153,937","59,812,622 ",Africa
